ORGANIZATION_ID,ACTIVITY_NAME,TIMESTAMP,CONVERTED,CONVERTED_AT,TRIAL_START,TRIAL_END
00456fd86311b6095ad05f7e31758f0d,Scheduling.Shift.Created,2024-01-11 13:49:19,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
00456fd86311b6095ad05f7e31758f0d,Scheduling.Shift.AssignmentChanged,2024-01-11 13:49:29,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
00456fd86311b6095ad05f7e31758f0d,Scheduling.Shift.AssignmentChanged,2024-01-11 13:49:30,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
00456fd86311b6095ad05f7e31758f0d,Communication.Message.Created,2024-01-11 13:52:48,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
00456fd86311b6095ad05f7e31758f0d,Mobile.Schedule.Loaded,2024-01-11 14:02:13,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
00456fd86311b6095ad05f7e31758f0d,Scheduling.Shift.AssignmentChanged,2024-01-11 14:02:30,False,,2024-01-11 13:44:36,2024-02-10 13:44:36
007d48a2bc006e6eac0348c788d26dfd,PunchClock.PunchedIn,2024-03-16 23:00:12,False,,2024-03-16 22:58:07,2024-04-15 22:58:07
007d48a2bc006e6eac0348c788d26dfd,Mobile.Schedule.Loaded,2024-03-16 23:00:26,False,,2024-03-16 22:58:07,2024-04-15 22:58:07
007d48a2bc006e6eac0348c788d26dfd,Mobile.Schedule.Loaded,2024-03-16 23:00:31,False,,2024-03-16 22:58:07,2024-04-15 22:58:07
007d48a2bc006e6eac0348c788d26dfd,Mobile.Schedule.Loaded,2024-03-17 21:15:08,False,,2024-03-16 22:58:07,2024-04-15 22:58:07
007d48a2bc006e6eac0348c788d26dfd,Mobile.Schedule.Loaded,2024-03-18 14:10:43,False,,2024-03-16 22:58:07,2024-04-15 22:58:07
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.Created,2024-03-25 21:03:23,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.AssignmentChanged,2024-03-25 21:09:35,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.Created,2024-03-25 21:39:40,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.Created,2024-03-25 21:39:42,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.AssignmentChanged,2024-03-25 21:40:14,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
00f00e783ff21fd62404d10ced5cd45f,Scheduling.Shift.Created,2024-03-25 21:40:36,False,,2024-03-25 20:43:51,2024-04-24 20:43:51
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.Created,2024-02-12 11:36:21,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.Created,2024-02-12 11:42:45,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.Created,2024-02-12 11:43:06,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.Created,2024-02-12 11:43:12,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.Created,2024-02-12 11:43:28,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.AssignmentChanged,2024-02-12 11:44:35,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.AssignmentChanged,2024-02-12 11:44:39,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.AssignmentChanged,2024-02-12 11:44:41,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
014d8cdf08111d7442887a4704b47caa,Scheduling.Shift.AssignmentChanged,2024-02-12 11:44:43,False,,2024-02-11 13:44:21,2024-03-12 13:44:21
